artist,artist_mbid,album,album_mbid,track,track_mbid,timestamp,datetime
deadmau5,4a00ec9d-c635-463a-8cd4-eb61725f0c60,The Veldt,1d5ecbd9-1e98-4609-9ed5-b92017882d00,The Veldt - Radio Edit,1c3f8d9a-c0de-4b3d-a711-617168b90c25,1606264078,2020-11-25 00:27:58
Jan Blomqvist,cccd1fad-a7bb-4a79-90d1-a2d7e1f8db17,The Space in Between (Ben Böhmer Remix),,The Space in Between - Ben Böhmer Remix,5864c07f-1d29-4203-bbae-f24a01930d4b,1606263833,2020-11-25 00:23:53
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Cappadocia,,Cappadocia,,1606263551,2020-11-25 00:19:11
Monolink,,Father Ocean,,Father Ocean - Ben Böhmer Remix Edit,,1606263232,2020-11-25 00:13:52
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Breathing,31542e2b-a7ad-4259-ab5b-f4bf22ff4e2c,Breathing,,1606262918,2020-11-25 00:08:38
Dash Berlin,ccfa0410-bd90-4fd1-ab85-8995a57e265b,The New Daylight (Bonus Track Version),,End Of Silence,,1606262555,2020-11-25 00:02:35
Dash Berlin,ccfa0410-bd90-4fd1-ab85-8995a57e265b,The New Daylight (Bonus Track Version),,The Night Time,050e0401-332d-311d-b59f-786e2a0f3281,1606262334,2020-11-24 23:58:54
Dash Berlin,ccfa0410-bd90-4fd1-ab85-8995a57e265b,Till the Sky Falls Down,21f4069d-c19f-48d5-b4f5-308bd3ea5e30,Till The Sky Falls Down,049f02d5-d564-3c31-aa56-76b9964eda7e,1606262038,2020-11-24 23:53:58
Dash Berlin,ccfa0410-bd90-4fd1-ab85-8995a57e265b,The New Daylight,b33e20af-a507-4d04-87eb-f257e8aafcc8,Renegade,,1606261727,2020-11-24 23:48:47
Armin van Buuren,477b8c0c-c5fc-4ad2-b5b2-191f0bf2a9df,Again,4c2d4f67-1c1f-4a39-8ee2-437a52847f80,Again - Armin van Buuren Remix,,1606261538,2020-11-24 23:45:38
Paul van Dyk,,Trance Classics By Johan Gielen,,For An Angel 2009 - Radio Mix 2009,,1606261024,2020-11-24 23:37:04
Paul van Dyk,092ca127-2e07-4cbd-9cba-e412b4ddddd9,Shine Ibiza Anthem 2019,,Shine Ibiza Anthem 2019,,1606261024,2020-11-24 23:37:04
Paul van Dyk,,Trance Classics By Johan Gielen,,For An Angel 2009 - Radio Mix 2009,,1606260843,2020-11-24 23:34:03
Epica,,The Holographic Principle,58f571ee-c464-4ff2-bdab-83dbe31075b5,Edge of the Blade,06b44386-8470-47b7-87cf-5cedb9f7caf7,1606260553,2020-11-24 23:29:13
Haggard,4ea2fd64-834c-4d78-8f4c-2a900c439031,Tales of Thiria,,Chapter II: Upon Fallen Autumn Leaves,0cbe5a2b-b616-4f8c-a0bb-9bb44752ff91,1606260152,2020-11-24 23:22:32
Epica,,The Holographic Principle,58f571ee-c464-4ff2-bdab-83dbe31075b5,Ascension - Dream State Armageddon,,1606259891,2020-11-24 23:18:11
Haggard,4ea2fd64-834c-4d78-8f4c-2a900c439031,Awaking The Centuries,173cce6b-84da-4eba-880e-9a96048c8b4a,Prophecy Fulfilled / And the Dark Night Entered,3ab5659a-7c43-3a1b-ac9d-1a0d5d3d0566,1606259474,2020-11-24 23:11:14
Haggard,4ea2fd64-834c-4d78-8f4c-2a900c439031,And Thou Shalt Trust the Seer,,In a Pale Moon´s Shadow (Chapter III),,1606259119,2020-11-24 23:05:19
Epica,,The Holographic Principle,58f571ee-c464-4ff2-bdab-83dbe31075b5,Beyond the Matrix,11795ea1-4857-4048-b8ee-385643651203,1606258666,2020-11-24 22:57:46
Haggard,4ea2fd64-834c-4d78-8f4c-2a900c439031,Awaking The Centuries,173cce6b-84da-4eba-880e-9a96048c8b4a,Awaking the Centuries,3448a260-c2ec-3db1-bc48-19028ea67662,1606258056,2020-11-24 22:47:36
Haggard,4ea2fd64-834c-4d78-8f4c-2a900c439031,Awaking The Centuries,173cce6b-84da-4eba-880e-9a96048c8b4a,In a Fullmoon Procession,26e5c0a9-d612-3280-b55a-b7a6922d1ae2,1606257705,2020-11-24 22:41:45
Epica,,The Holographic Principle,58f571ee-c464-4ff2-bdab-83dbe31075b5,The Cosmic Algorithm,332b00c3-ff64-4d92-b888-7e3a7ac26f24,1606257705,2020-11-24 22:41:45
Haggard,4ea2fd64-834c-4d78-8f4c-2a900c439031,Awaking The Centuries,173cce6b-84da-4eba-880e-9a96048c8b4a,In a Fullmoon Procession,26e5c0a9-d612-3280-b55a-b7a6922d1ae2,1606257388,2020-11-24 22:36:28
Trivium,1f5ff245-2837-4d4a-a609-e93e544478c3,The Sin And The Sentence,133005c4-e92a-44d3-a5a2-4f888a2cbc7b,Beyond Oblivion,6198367e-7246-48f9-8c8b-14ec5cc33863,1606236423,2020-11-24 16:47:03
The Agonist,d6d9ec73-d0dd-4066-944c-20d4a6d6c7c7,Once Only Imagined,093549b7-2586-421e-833a-3cec340d0694,Business Suits and Combat Boots,03a5e11d-9855-382c-8b27-8b8956bc8498,1606234099,2020-11-24 16:08:19
Children of Bodom,f57e14e4-b030-467c-b202-539453f504ec,Hexed (Deluxe Version),,Under Grass and Clover,2751dfcd-ff3e-4d3e-b6c5-b3e5b799792f,1606233829,2020-11-24 16:03:49
Epica,,The Holographic Principle,58f571ee-c464-4ff2-bdab-83dbe31075b5,Universal Death Squad,177b2eae-948a-4176-8584-e368d8462cf3,1606233369,2020-11-24 15:56:09
The Agonist,d6d9ec73-d0dd-4066-944c-20d4a6d6c7c7,Orphans,2c970291-04ef-4429-96d2-c35ddcd55f73,In Vertigo,3aa1b304-3e9d-4aa1-84dc-c5f843bb342c,1606232961,2020-11-24 15:49:21
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,From The Fires,1d2a4612-587f-4cf6-9c8a-8136aa2763dd,Highway Tune,1027a8a0-a8b1-43de-9059-eccb6863a62f,1606176627,2020-11-24 00:10:27
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,From The Fires,1d2a4612-587f-4cf6-9c8a-8136aa2763dd,Safari Song,6a158855-8789-4adf-8727-298a42746a86,1606176391,2020-11-24 00:06:31
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,From The Fires,1d2a4612-587f-4cf6-9c8a-8136aa2763dd,Edge of Darkness,14f39b45-5cbf-4516-be03-cb8123c3fb98,1606176123,2020-11-24 00:02:03
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,Anthem of the Peaceful Army,0047500a-c1ff-45b4-97ae-67c59166c646,Watching Over,0dfc30aa-b260-47f3-a5f7-7c2f3b6ab34b,1606175792,2020-11-23 23:56:32
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,Anthem of the Peaceful Army,0047500a-c1ff-45b4-97ae-67c59166c646,The New Day,0def50ff-de1f-43ca-8f69-f22d327fa78a,1606175572,2020-11-23 23:52:52
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,Spotify Singles,765f2c9f-8ea6-4c0a-98de-c371ccdab42a,Black Smoke Rising - Recorded At Spotify Studios NYC,,1606175191,2020-11-23 23:46:31
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,Anthem of the Peaceful Army,0047500a-c1ff-45b4-97ae-67c59166c646,Brave New World,09ec8ef0-1619-4187-a872-f8685f9984dd,1606174876,2020-11-23 23:41:16
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,From The Fires,1d2a4612-587f-4cf6-9c8a-8136aa2763dd,Talk On The Street,07aaf357-479d-4381-83f3-ad4c0685fb14,1606174534,2020-11-23 23:35:34
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,Anthem of the Peaceful Army,0047500a-c1ff-45b4-97ae-67c59166c646,When The Curtain Falls,07e527ce-c0e6-4376-95af-4cb109048800,1606174343,2020-11-23 23:32:23
Greta Van Fleet,0be22557-d8c7-4706-a531-625c4c570162,From The Fires,1d2a4612-587f-4cf6-9c8a-8136aa2763dd,A Change Is Gonna Come,48390278-3c7f-475e-901b-d199577640e3,1606174021,2020-11-23 23:27:01
Cercle,,,,"Joris Delacroix live @ Rooftop Piscine Molitor in Paris, France for Cercle",,1606161548,2020-11-23 19:59:08
Cercle,,,,Deborah de Luca @ Château de Chambord in France for Cercle,,1606159919,2020-11-23 19:31:59
Ben Böhmer feat. Jonah,e4f12dfc-1ee7-4250-8e24-549b6d46676d,,,Hunting,09566d66-4de7-4b29-a373-c5fb16b35647,1606159451,2020-11-23 19:24:11
"Ben Böhmer, Nils Hoffmann & Malou",,,,Breathing,,1606159127,2020-11-23 19:18:47
Jan Blomqvist,,,,The Space In Between (Ben Böhmer Remix),,1606158814,2020-11-23 19:13:34
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Live from Printworks London,,Ground Control,ddcf4763-fc42-4704-98c5-05dc210560db,1606158628,2020-11-23 19:10:28
Ben Böhmer,,,,ID,,1606158224,2020-11-23 19:03:44
Ben Böhmer feat Jan Blomqvist,,,,Decade,,1606157869,2020-11-23 18:57:49
Ben Böhmer & Monolink,e4f12dfc-1ee7-4250-8e24-549b6d46676d,,,Black Hole,808d8066-7197-462b-8c31-4f382dacc77d,1606157557,2020-11-23 18:52:37
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Promise You EP,0b7a7a47-d3a1-4920-a9f3-27e4bbfd6ca4,Submission,9d595648-7085-441d-ae39-3116916e0489,1606157250,2020-11-23 18:47:30
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,,,Wall of Strings,48f62d28-0d94-47f8-bf88-4d0f41fa9767,1606156921,2020-11-23 18:42:01
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Anjunadeep 10,,In Memoriam,01055ba8-c133-45bb-91ba-009dcd56b242,1606156601,2020-11-23 18:36:41
The Gaslamp Killer,,,,Nissim (Ben Böhmer Remix),,1606156322,2020-11-23 18:32:02
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Breathing,31542e2b-a7ad-4259-ab5b-f4bf22ff4e2c,Maelstrom,328b664b-a812-43c2-9b5f-89416b815106,1606155947,2020-11-23 18:25:47
Ben Böhmer,,,,After Earth (VIP mix),,1606155588,2020-11-23 18:19:48
Ben Böhmer & Wood,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Breathing,,Voyager 1,44caef7c-199e-4e93-9ba3-0648f7b97cb0,1606155298,2020-11-23 18:14:58
Ben Böhmer,e4f12dfc-1ee7-4250-8e24-549b6d46676d,Vom Menschen,,Purple Line,575b840e-f07b-460d-abfb-76f70e33f6b6,1606154967,2020-11-23 18:09:27
Monolink,,sunshine live Vol. 67,,Father Ocean (Ben Böhmer Remix),,1606154619,2020-11-23 18:03:39
Omnium Gatherum,9319e8ca-75f1-4d43-acba-eb31c9f1c38e,Chaospace,80a99d0e-2e7c-4f51-aa8e-800938b556b2,Chaospace,21d82352-5d63-4e75-89c0-73851d45b8db,1606149335,2020-11-23 16:35:35
Omnium Gatherum,9319e8ca-75f1-4d43-acba-eb31c9f1c38e,New World Shadows,7cce37fe-4424-4a40-8f4f-0c44522cc284,Soul Journeys,42ab7ce5-b5b9-3b94-ab30-76776a632a5c,1606146659,2020-11-23 15:50:59
Omnium Gatherum,9319e8ca-75f1-4d43-acba-eb31c9f1c38e,Grey Heavens,3bc84b99-88db-4bee-8d23-93c2bc8554b5,Foundation,18a8e227-0cb5-444c-af3a-839a3ea95eb0,1606146177,2020-11-23 15:42:57
Omnium Gatherum,9319e8ca-75f1-4d43-acba-eb31c9f1c38e,New World Shadows,7cce37fe-4424-4a40-8f4f-0c44522cc284,Ego,03c16658-6c21-3f3d-9a75-35fa4e2355ad,1606145868,2020-11-23 15:37:48
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,Return of the Big Guns,72891d3e-07e4-41d7-9eef-75aba44c8bde,After The Rain,531ade5b-6d69-3cf6-8f7b-4d90be9900c1,1606092552,2020-11-23 00:49:12
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,Greetings From Skamania,2d7cffe8-d207-499d-b7ce-e9b17ccad3a9,Wood and Water,ec932825-48a7-36e6-a473-1e8015c2c5a7,1606092218,2020-11-23 00:43:38
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,Treasure Isle,c806dcc6-1bdf-4dd1-9073-ed6683013ff4,I Will Always Love You,6bd42b68-c39c-362d-9bdc-e1955e1e01cc,1606091910,2020-11-23 00:38:30
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,Lucky Seven,3a7bc50c-8e1e-41b4-afc6-bf34e2530bf2,Twelve Minutes to Go,09532e65-84bf-371e-b2d5-adefd8834047,1606091720,2020-11-23 00:35:20
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,From Paris With Love,30770fdd-4337-365b-bf58-d55f56fd7762,African Beat,252c4eda-e36f-3372-ad22-c8ec1d7c1989,1606091029,2020-11-23 00:23:49
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,Shock Trail,2a729097-257c-360e-b312-07c4c8576b7c,1606090824,2020-11-23 00:20:24
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,Bye Bye,30734781-0555-3ea7-96ad-0cec009e71b2,1606090596,2020-11-23 00:16:36
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,Little Irene,488f4297-7f4b-3f51-912a-57f6e97983a3,1606090377,2020-11-23 00:12:57
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,June Rose,f4c73179-8373-31ad-80bb-24f26926b8bf,1606090149,2020-11-23 00:09:09
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,Uluru Rock,e8850967-8fde-34c2-a603-7a6a671a3e68,1606089831,2020-11-23 00:03:51
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,Right Track,3c451900-9f39-34ba-a603-6c11466362ba,1606089610,2020-11-23 00:00:10
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,Marguerita's Lament,ab53ba5f-09ae-383e-9c22-0f084a86d026,1606089100,2020-11-22 23:51:40
The Skatalites,87ac7e25-f278-47a0-b109-5eb131dc96b6,On The Right Track,d323f64f-b442-466f-969a-4f589a3c0f8f,Doreen Special,13423f47-0251-3110-85ee-6209b75dd4f6,1606088885,2020-11-22 23:48:05
Music Is My Occupation,,,,The Skatalites,,1606088697,2020-11-22 23:44:57
Jinjer,,,,Perennial (Live at Wacken Open Air 2019),,1606084431,2020-11-22 22:33:51
Jinjer,,,,Who is gonna be the one (live),,1606084105,2020-11-22 22:28:25
Unleash the Archers,,,,Awakening (Full Band Playthrough Video),,1606083576,2020-11-22 22:19:36
Wintersun,,,,Time (TIME I Live Rehearsals At Sonic Pump Studios) REMASTER,,1606082662,2020-11-22 22:04:22
Be'lakor,bc9ffd36-64be-4d41-8034-473f4b524159,,,The Smoke Of Many Fires,4cc3f842-990e-4ba7-9c14-3e1dc7754d37,1606082090,2020-11-22 21:54:50
